model,regime,case,rmse_mean,rmse_std,mae_mean,r2_mean,mape_mean
HistGradientBoosting,charging,case1_baseline,4.267177325826615,2.7468673663061183,3.8187118834092506,0.2163167976222615,10.496380188387127
HistGradientBoosting,charging,case2_solar,4.263499179117253,2.746823004357179,3.8143133845933854,0.2177796995335067,10.483671687765735
HistGradientBoosting,charging,case3_lags,2.896796186869795,2.4247153326202273,2.3047863113101674,0.6707139445478022,6.1340514095075624
HistGradientBoosting,charging,case4_solar_and_lags,2.9012533696123266,2.427121551949007,2.3120150424398473,0.670082798216877,6.159869083116384
HistGradientBoosting,discharging,case1_baseline,2.745902400595977,0.1490213588272504,2.541525620683587,0.5013047402193026,7.5085221253423775
HistGradientBoosting,discharging,case2_solar,2.7453493573495966,0.14815986666560202,2.5406011279825638,0.5013913545383554,7.506249047108241
HistGradientBoosting,discharging,case3_lags,2.0219145518585777,0.43665847646334083,1.650131858185345,0.802496071163767,4.760716540723936
HistGradientBoosting,discharging,case4_solar_and_lags,2.0219145518585777,0.43665847646334083,1.650131858185345,0.802496071163767,4.760716540723936
RandomForest,charging,case1_baseline,4.12124841374335,3.030634415645709,3.69079863299955,0.3102440130527027,9.981110629038698
RandomForest,charging,case2_solar,4.135995202285162,3.0400853848791614,3.696965180179287,0.30595014448666125,9.998503741055822
RandomForest,charging,case3_lags,2.9032102846735945,2.3293237658031845,2.1579754221233647,0.6693559500733492,5.5993583332302235
RandomForest,charging,case4_solar_and_lags,2.9145246716830973,2.347196197435868,2.171770745365418,0.666752634423,5.644759173924068
RandomForest,discharging,case1_baseline,2.7069041290402485,0.25645913975323004,2.370256090146221,0.5722544921973155,6.916533342121404
RandomForest,discharging,case2_solar,2.814297034676445,0.3541819474158785,2.4268796455760318,0.5473126624459999,7.019606420601181
RandomForest,discharging,case3_lags,1.9087561644034217,0.7432390923762133,1.4609137782122275,0.8567110785956255,4.171331644311118
RandomForest,discharging,case4_solar_and_lags,1.960674312807331,0.794605529388815,1.5091264918509744,0.8495520867782059,4.286937245780648
Ridge,charging,case1_baseline,2.7394549188279806,2.0703445844582054,2.282231987824128,0.6244376852018183,5.8052026005689505
Ridge,charging,case2_solar,2.739457041149837,2.0703488434334103,2.282233310398252,0.6244373380655815,5.805204830775486
Ridge,charging,case3_lags,0.24533022416179992,0.1570046700185127,0.1908763589614586,0.9960341940593059,0.510182117331783
Ridge,charging,case4_solar_and_lags,0.24533130584895388,0.15700635340248012,0.19087621611131275,0.9960341774974079,0.5101814549756112
Ridge,discharging,case1_baseline,2.204063503055162,0.225268595930842,2.0449053222876015,0.6261450255340097,6.0953078852113265
Ridge,discharging,case2_solar,2.2368705281775547,0.21657206968927828,2.067810954431002,0.6183679244707695,6.153148544194018
Ridge,discharging,case3_lags,1.6171088710589263,0.3414225885339167,1.3158206059236595,0.7900785286620643,3.7150324588128476
Ridge,discharging,case4_solar_and_lags,1.6032285762635645,0.23401946334054669,1.4153077300622623,0.788640447129139,4.180945896933064
